Skill
Python
Java
C
C++
SQL
MySQL
MongoDB
HTML
CSS
JavaScript
React
Node.js
Express.js
Git
GitHub
Docker
Kubernetes
AWS
Azure
GCP
Linux
Machine Learning
Deep Learning
Artificial Intelligence
NLP
Computer Vision
Data Science
Pandas
NumPy
Matplotlib
Seaborn
Scikit-learn
TensorFlow
Keras
PyTorch
Power BI
Excel
Tableau
